GEO,ID,year,month,value
E,S371967,2025,2,14471.72617
E,S371967,2025,3,13036.79065
E,S371967,2025,4,18162.50955
E,S371967,2025,5,16203.96055
E,S371967,2025,6,16291.63866
E,S371967,2025,7,16691.1603
E,S371967,2025,8,16700.74533
E,S371967,2025,9,16204.84498
E,S371967,2025,10,17099.66912
E,S371967,2025,11,16622.97741
E,S371967,2025,12,17336.91489
E,S523396,2022,1,12557
E,S523396,2022,2,12170
E,S523396,2022,3,12572
E,S523396,2022,4,10123
E,S523396,2022,5,16251
E,S523396,2022,6,15940
E,S523396,2022,7,16480
E,S523396,2022,8,15279
E,S523396,2022,9,13749
E,S523396,2022,10,12628
E,S523396,2022,11,12747
E,S523396,2022,12,12735
E,S523396,2023,1,14066
E,S523396,2023,2,11708
E,S523396,2023,3,9942
E,S523396,2023,4,11235
E,S523396,2023,5,13274
E,S523396,2023,6,13979
E,S523396,2023,7,16678
E,S523396,2023,8,15233
E,S523396,2023,9,14134
E,S523396,2023,10,10122
E,S523396,2023,11,7375
E,S523396,2023,12,8256
E,S523396,2024,1,12070
E,S523396,2024,2,9824
E,S523396,2024,3,7492
E,S523396,2024,4,10176
E,S523396,2024,5,11928
E,S523396,2024,6,13288
E,S523396,2024,7,13793
E,S523396,2024,8,13742
E,S523396,2024,9,12311
E,S523396,2024,10,12992.50085
E,S523396,2024,11,12939.27309
E,S523396,2024,12,13244.03734
E,S523396,2025,1,12864.37113
E,S523396,2025,2,11812.06795
E,S523396,2025,3,10640.84928
E,S523396,2025,4,14824.54784
E,S523396,2025,5,13225.94699
E,S523396,2025,6,13297.51134
E,S523396,2025,7,13623.60767
E,S523396,2025,8,13631.43113
E,S523396,2025,9,13226.66887
E,S523396,2025,10,13957.03948
E,S523396,2025,11,13567.95564
E,S523396,2025,12,14150.6835
E,S395625,2022,1,13472
E,S395625,2022,2,11741
E,S395625,2022,3,14898
E,S395625,2022,4,8659
E,S395625,2022,5,13276
E,S395625,2022,6,12710
E,S395625,2022,7,15889
E,S395625,2022,8,14737
E,S395625,2022,9,13335
E,S395625,2022,10,13705
E,S395625,2022,11,14683
E,S395625,2022,12,15124
E,S395625,2023,1,15018
E,S395625,2023,2,12025
E,S395625,2023,3,13296
E,S395625,2023,4,12941
E,S395625,2023,5,15068
E,S395625,2023,6,15150
E,S395625,2023,7,15962
E,S395625,2023,8,15287
E,S395625,2023,9,13221
E,S395625,2023,10,11963
E,S395625,2023,11,7100
E,S395625,2023,12,7557
E,S395625,2024,1,8301
E,S395625,2024,2,8326
E,S395625,2024,3,7862
E,S395625,2024,4,9480
E,S395625,2024,5,8911
E,S395625,2024,6,9220
E,S395625,2024,7,12929
E,S395625,2024,8,12598
E,S395625,2024,9,12358
E,S395625,2024,10,13010.95099
E,S395625,2024,11,12844.70867
E,S395625,2024,12,13178.01305
E,S395625,2025,1,12913.48375
E,S395625,2025,2,11857.16316
E,S395625,2025,3,10681.47311
E,S395625,2025,4,14881.14387
E,S395625,2025,5,13276.44
E,S395625,2025,6,13348.27757
E,S395625,2025,7,13675.61884
E,S395625,2025,8,13683.47217
E,S395625,2025,9,13277.16464
E,S395625,2025,10,14010.32361
E,S395625,2025,11,13619.75435
E,S395625,2025,12,14204.70691
E,S124037,2022,1,15028
E,S124037,2022,2,14589
E,S124037,2022,3,16047
E,S124037,2022,4,9917
E,S124037,2022,5,20428
E,S124037,2022,6,17020
E,S124037,2022,7,19818
E,S124037,2022,8,16215
E,S124037,2022,9,14005
E,S124037,2022,10,13294
E,S124037,2022,11,14855
E,S124037,2022,12,17009
E,S124037,2023,1,15833
E,S124037,2023,2,12487
E,S124037,2023,3,10460
E,S124037,2023,4,10103
E,S124037,2023,5,13330
E,S124037,2023,6,13941
E,S124037,2023,7,15268
E,S124037,2023,8,15435
E,S124037,2023,9,13328
E,S124037,2023,10,8998
E,S124037,2023,11,5763
E,S124037,2023,12,6497
E,S124037,2024,1,9490
E,S124037,2024,2,7992
E,S124037,2024,3,3248
E,S124037,2024,4,7041
E,S124037,2024,5,8062
E,S124037,2024,6,9798
E,S124037,2024,7,9930
E,S124037,2024,8,10851
E,S124037,2024,10,11015.33082
E,S124037,2024,11,10926.23693
E,S124037,2024,12,11164.61587
E,S124037,2025,1,10968.37575
E,S124037,2025,2,10071.16464
E,S124037,2025,3,9072.564218
E,S124037,2025,4,12639.65485
E,S124037,2025,5,11276.66131
E,S124037,2025,6,11337.67826
E,S124037,2025,7,11615.71338
E,S124037,2025,8,11622.3838
E,S124037,2025,9,11277.27679
E,S124037,2025,10,11900.00287
E,S124037,2025,11,11568.26354
E,S124037,2025,12,12065.10696
E,S427357,2022,1,17423
E,S427357,2022,2,15181
E,S427357,2022,3,16116
E,S427357,2022,4,12014
E,S427357,2022,5,17603
E,S427357,2022,6,17550
E,S427357,2022,7,18810
E,S427357,2022,8,16021
E,S427357,2022,9,16047
E,S427357,2022,10,13565
E,S427357,2022,11,12745
E,S427357,2022,12,12730
E,S427357,2023,1,16067
E,S427357,2023,2,11456
E,S427357,2023,3,11370
E,S427357,2023,4,13098
E,S427357,2023,5,15099
E,S427357,2023,6,14059
E,S427357,2023,7,16252
E,S427357,2023,8,13562
E,S427357,2023,9,13954
E,S427357,2023,10,9629
E,S427357,2023,11,5737
E,S427357,2023,12,5028
E,S427357,2024,1,7677
E,S427357,2024,2,5911
E,S427357,2024,3,5664
E,S427357,2024,4,6117
E,S427357,2024,5,8048
E,S427357,2024,6,8125
E,S427357,2024,7,8050
E,S427357,2024,8,7679
E,S427357,2024,9,8997
E,S427357,2024,10,9495.047524
E,S427357,2024,11,9456.148161
E,S427357,2024,12,9678.872868
E,S427357,2025,1,9401.40907
E,S427357,2025,2,8632.375545
E,S427357,2025,3,7776.437414
E,S427357,2025,4,10833.92551
E,S427357,2025,5,9665.652265
E,S427357,2025,6,9717.952198
E,S427357,2025,7,9956.266605
E,S427357,2025,8,9961.98407
E,S427357,2025,9,9666.179824
E,S427357,2025,10,10199.94186
E,S427357,2025,11,9915.595555
E,S427357,2025,12,10341.45881
E,S439052,2022,1,13181
E,S439052,2022,2,10897
E,S439052,2022,3,12671
E,S439052,2022,4,13257
E,S439052,2022,5,15025
E,S439052,2022,6,13746
E,S439052,2022,7,13955
E,S439052,2022,8,13304
E,S439052,2022,9,11980
E,S439052,2022,10,11693
E,S439052,2022,11,10977
E,S439052,2022,12,12411
E,S439052,2023,1,13756
E,S439052,2023,2,11592
E,S439052,2023,3,12369
E,S439052,2023,4,13063
E,S439052,2023,5,15647
E,S439052,2023,6,16792
E,S439052,2023,7,16063
E,S439052,2023,8,14893
E,S439052,2023,9,13603
E,S439052,2023,10,12033
E,S439052,2023,11,7355
E,S439052,2023,12,8081
E,S439052,2024,1,9418
E,S439052,2024,2,8591
E,S439052,2024,3,8065
E,S439052,2024,4,9569
E,S439052,2024,5,8703
E,S439052,2024,6,9064
E,S439052,2024,7,10072
E,S439052,2024,8,9617
E,S439052,2024,9,9231
E,S439052,2024,10,9682.322715
E,S439052,2024,11,9543.518846
E,S439052,2024,12,9771.719251
E,S439052,2025,1,9645.927212
E,S439052,2025,2,8856.892148
E,S439052,2025,3,7978.692205
E,S439052,2025,4,11115.70149
E,S439052,2025,5,9917.043021
E,S439052,2025,6,9970.703205
E,S439052,2025,7,10215.21585
E,S439052,2025,8,10221.08202
E,S439052,2025,9,9917.584301
E,S439052,2025,10,10465.22878
E,S439052,2025,11,10173.487
E,S439052,2025,12,10610.4264
E,S243517,2022,1,11356
E,S243517,2022,2,10896
E,S243517,2022,3,13415
E,S243517,2022,4,9603
E,S243517,2022,5,14189
E,S243517,2022,6,10948
E,S243517,2022,7,14019
E,S243517,2022,8,12608
E,S243517,2022,9,11292
E,S243517,2022,10,11445
E,S243517,2022,11,11772
E,S243517,2022,12,12456
E,S243517,2023,1,13040
E,S243517,2023,2,10455
E,S243517,2023,3,10876
E,S243517,2023,4,11253
E,S243517,2023,5,12958
E,S243517,2023,6,14182
E,S243517,2023,7,14933
E,S243517,2023,8,12998
E,S243517,2023,9,11752
E,S243517,2023,10,9913
E,S243517,2023,11,4789
E,S243517,2023,12,5310
E,S243517,2024,1,6260
E,S243517,2024,2,6170
E,S243517,2024,3,5982
E,S243517,2024,4,7889
E,S243517,2024,5,7186
E,S243517,2024,6,7733
E,S243517,2024,7,9250
E,S243517,2024,8,9995
E,S243517,2024,9,10751
E,S243517,2024,10,11317.34447
E,S243517,2024,11,11201.67813
E,S243517,2024,12,11466.89862
E,S243517,2025,1,11234.25018
E,S243517,2025,2,10315.29059
E,S243517,2025,3,9292.48401
E,S243517,2025,4,12946.04125
E,S243517,2025,5,11550.00861
E,S243517,2025,6,11612.50462
E,S243517,2025,7,11897.27935
E,S243517,2025,8,11904.11145
E,S243517,2025,9,11550.63902
E,S243517,2025,10,12188.46004
E,S243517,2025,11,11848.67932
E,S243517,2025,12,12357.56627
E,S151316,2022,1,15235
E,S151316,2022,2,15662
E,S151316,2022,3,15071
E,S151316,2022,4,9704
E,S151316,2022,5,19381
E,S151316,2022,6,16512
E,S151316,2022,7,18672
E,S151316,2022,8,16160
E,S151316,2022,9,14883
E,S151316,2022,10,13147
E,S151316,2022,11,14228
E,S151316,2022,12,15338
E,S151316,2023,1,16492
E,S151316,2023,2,12493
E,S151316,2023,3,9902
E,S151316,2023,4,10671
E,S151316,2023,5,12979
E,S151316,2023,6,13247
E,S151316,2023,7,14181
E,S151316,2023,8,13401
E,S151316,2023,9,11449
E,S151316,2023,10,8424
E,S151316,2023,11,5223
E,S151316,2023,12,6057
E,S151316,2024,1,8505
E,S151316,2024,2,7455
E,S151316,2024,3,4375
E,S151316,2024,4,7959
E,S151316,2024,5,8640
E,S151316,2024,6,9348
E,S151316,2024,7,265
E,S151316,2024,10,10166.31117
E,S151316,2024,11,10119.18576
E,S151316,2024,12,10390.48928
E,S151316,2025,1,9786.100524
E,S151316,2025,2,8985.599308
E,S151316,2025,3,8094.637482
E,S151316,2025,4,11277.23337
E,S151316,2025,5,10061.15615
E,S151316,2025,6,10115.59612
E,S151316,2025,7,10363.66199
E,S151316,2025,8,10369.61341
E,S151316,2025,9,10061.7053
E,S151316,2025,10,10617.30807
E,S151316,2025,11,10321.32674
E,S151316,2025,12,10764.61568
E,S371403,2022,1,12804
E,S371403,2022,2,13708
E,S371403,2022,3,14314
E,S371403,2022,4,10795
E,S371403,2022,5,15584
E,S371403,2022,6,15961
E,S371403,2022,7,16951
E,S371403,2022,8,14740
E,S371403,2022,9,14857
E,S371403,2022,10,13581
E,S371403,2022,11,13362
E,S371403,2022,12,13971
E,S371403,2023,1,14074
E,S371403,2023,2,11266
E,S371403,2023,3,10095
E,S371403,2023,4,11431
E,S371403,2023,5,12437
E,S371403,2023,6,12982
E,S371403,2023,7,13166
E,S371403,2023,8,12085
E,S371403,2023,9,11891
E,S371403,2023,10,8472
E,S371403,2023,11,4518
E,S371403,2023,12,5297
E,S371403,2024,1,5497
E,S371403,2024,2,5989
E,S371403,2024,3,5395
E,S371403,2024,4,7816
E,S371403,2024,5,6349
E,S371403,2024,6,6392
E,S371403,2024,7,6761
E,S371403,2024,8,7665
E,S371403,2024,9,8078
E,S371403,2024,10,8472.950152
E,S371403,2024,11,8351.483617
E,S371403,2024,12,8551.180601
E,S371403,2025,1,8441.100641
E,S371403,2025,2,7750.620168
E,S371403,2025,3,6982.111974
E,S371403,2025,4,9727.292457
E,S371403,2025,5,8678.352673
E,S371403,2025,6,8725.31042
E,S371403,2025,7,8939.282165
E,S371403,2025,8,8944.415618
E,S371403,2025,9,8678.826344
E,S371403,2025,10,9158.067172
E,S371403,2025,11,8902.765465
E,S371403,2025,12,9285.128854
E,S276242,2022,1,15663
E,S276242,2022,2,18115
E,S276242,2022,3,17254
E,S276242,2022,4,15536
E,S276242,2022,5,18242
E,S276242,2022,6,16961
E,S276242,2022,7,19865
E,S276242,2022,8,18889
E,S276242,2022,9,18145
E,S276242,2022,10,17894
E,S276242,2022,11,16093
E,S276242,2022,12,16588
E,S276242,2023,1,17225
E,S276242,2023,2,13705
E,S276242,2023,3,12042
E,S276242,2023,4,14616
E,S276242,2023,5,11418
E,S276242,2023,6,12292
E,S276242,2023,7,12356
E,S276242,2023,8,10906
E,S276242,2023,9,9816
E,S276242,2023,10,6058
E,S276242,2023,11,2352
E,S276242,2023,12,2058
E,S276242,2024,1,2739
E,S276242,2024,2,5086
E,S276242,2024,3,4455
E,S276242,2024,4,7426
E,S276242,2024,5,4830
E,S276242,2024,6,8059
E,S276242,2024,7,6595
E,S276242,2024,8,6362
E,S276242,2024,9,6136
E,S276242,2024,10,6479.88673
E,S276242,2024,11,6445.028758
E,S276242,2024,12,6637.832732
E,S276242,2025,1,6411.809054
E,S276242,2025,2,5887.324257
E,S276242,2025,3,5303.570076
E,S276242,2025,4,7388.792587
E,S276242,2025,5,6592.024263
E,S276242,2025,6,6627.693085
E,S276242,2025,7,6790.224729
E,S276242,2025,8,6794.12407
E,S276242,2025,9,6592.384061
E,S276242,2025,10,6956.412499
E,S276242,2025,11,6762.486865
E,S276242,2025,12,7052.927785
E,S288071,2022,1,6035
E,S288071,2022,2,5550
E,S288071,2022,3,6953
E,S288071,2022,4,3745
E,S288071,2022,5,11459
E,S288071,2022,6,9499
E,S288071,2022,7,15122
E,S288071,2022,8,14957
E,S288071,2022,9,11706
E,S288071,2022,10,9616
E,S288071,2022,11,10203
E,S288071,2022,12,8544
E,S288071,2023,1,7980
E,S288071,2023,2,6960
E,S288071,2023,3,6062
E,S288071,2023,4,10283
E,S288071,2023,5,10048
E,S288071,2023,6,11261
E,S288071,2023,7,15224
E,S288071,2023,8,15305
E,S288071,2023,9,11670
E,S288071,2023,10,7453
E,S288071,2023,11,4595
E,S288071,2023,12,4694
E,S288071,2024,1,5724
E,S288071,2024,2,5088
E,S288071,2024,3,3895
E,S288071,2024,4,10659
E,S288071,2024,5,7518
E,S288071,2024,6,11422
E,S288071,2024,7,11565
E,S288071,2024,8,12792
E,S288071,2024,9,10559
E,S288071,2024,10,11184.71458
E,S288071,2024,11,11099.07194
E,S288071,2024,12,11403.15023
E,S288071,2025,1,11033.61991
E,S288071,2025,2,10131.07184
E,S288071,2025,3,9126.531361
E,S288071,2025,4,12714.84044
E,S288071,2025,5,11343.73928
E,S288071,2025,6,11405.11918
E,S288071,2025,7,11684.80817
E,S288071,2025,8,11691.51826
E,S288071,2025,9,11344.35843
E,S288071,2025,10,11970.78872
E,S288071,2025,11,11637.07608
E,S288071,2025,12,12136.87492
E,S533618,2022,1,11246
E,S533618,2022,2,9504
E,S533618,2022,3,13339
E,S533618,2022,4,9604
E,S533618,2022,5,14877
E,S533618,2022,6,13313
E,S533618,2022,7,11980
E,S533618,2022,8,11387
E,S533618,2022,9,10364
E,S533618,2022,10,12954
E,S533618,2022,11,12447
E,S533618,2022,12,12665
E,S533618,2023,1,13136
E,S533618,2023,2,10047
E,S533618,2023,3,11659
E,S533618,2023,4,10960
E,S533618,2023,5,13315
E,S533618,2023,6,12709
E,S533618,2023,7,11868
E,S533618,2023,8,11558
E,S533618,2023,9,10230
E,S533618,2023,10,10075
E,S533618,2023,11,4360
E,S533618,2023,12,4227
E,S533618,2024,1,5374
E,S533618,2024,2,4936
E,S533618,2024,3,5190
E,S533618,2024,4,6435
E,S533618,2024,5,5624
E,S533618,2024,6,5462
E,S533618,2024,7,6780
E,S533618,2024,8,8403
E,S533618,2024,9,8867
E,S533618,2024,10,9286.807393
E,S533618,2024,11,9132.78932
E,S533618,2024,12,9354.206248
E,S533618,2025,1,9265.565658
E,S533618,2025,2,8507.644099
E,S533618,2025,3,7664.073641
E,S533618,2025,4,10677.38329
E,S533618,2025,5,9525.990734
E,S533618,2025,6,9577.534971
E,S533618,2025,7,9812.405912
E,S533618,2025,8,9818.040764
E,S533618,2025,9,9526.51067
E,S533618,2025,10,10052.56024
E,S533618,2025,11,9772.322528
E,S533618,2025,12,10192.03238
E,S256383,2022,1,12479
E,S256383,2022,2,11397
E,S256383,2022,3,12498
E,S256383,2022,4,10674
E,S256383,2022,5,17376
E,S256383,2022,6,12936
E,S256383,2022,7,15300
E,S256383,2022,8,13541
E,S256383,2022,9,14007
E,S256383,2022,10,11971
E,S256383,2022,11,11955
E,S256383,2022,12,12097
E,S256383,2023,1,13099
E,S256383,2023,2,10670
E,S256383,2023,3,11048
E,S256383,2023,4,12942
E,S256383,2023,5,11518
E,S256383,2023,6,12830
E,S256383,2023,7,12607
E,S256383,2023,8,12035
E,S256383,2023,9,10340
E,S256383,2023,10,7681
E,S256383,2023,11,3493
E,S256383,2023,12,3983
E,S256383,2024,1,4478
E,S256383,2024,2,4584
E,S256383,2024,3,4483
E,S256383,2024,4,7066
E,S256383,2024,5,5594
E,S256383,2024,6,5984
E,S256383,2024,7,6701
E,S256383,2024,8,7772
E,S256383,2024,9,7950
E,S256383,2024,10,8359.675755
E,S256383,2024,11,8278.763248
E,S256383,2024,12,8475.107351
E,S256383,2025,1,8307.347128
E,S256383,2025,2,7627.807667
E,S256383,2025,3,6871.476874
E,S256383,2025,4,9573.158583
E,S256383,2025,5,8540.839781
E,S256383,2025,6,8587.053459
E,S256383,2025,7,8797.634713
E,S256383,2025,8,8802.686824
E,S256383,2025,9,8541.305947
E,S256383,2025,10,9012.952961
E,S256383,2025,11,8761.696639
E,S256383,2025,12,9138.001286
E,S469729,2022,1,11447
E,S469729,2022,2,12393
E,S469729,2022,3,12517
E,S469729,2022,4,8758
E,S469729,2022,5,17705
E,S469729,2022,6,15215
E,S469729,2022,7,17867
E,S469729,2022,8,15461
E,S469729,2022,9,14459
E,S469729,2022,10,12421
E,S469729,2022,11,11657
E,S469729,2022,12,12408
E,S469729,2023,1,13137
E,S469729,2023,2,10280
E,S469729,2023,3,9738
E,S469729,2023,4,11050
E,S469729,2023,5,11613
E,S469729,2023,6,12519
E,S469729,2023,7,13822
E,S469729,2023,8,12117
E,S469729,2023,9,11369
E,S469729,2023,10,7850
E,S469729,2023,11,4141
E,S469729,2023,12,4501
E,S469729,2024,1,5495
E,S469729,2024,2,5209
E,S469729,2024,3,4349
E,S469729,2024,4,6515
E,S469729,2024,5,6292
E,S469729,2024,6,6754
E,S469729,2024,7,7391
E,S469729,2024,8,7789
E,S469729,2024,9,7396
E,S469729,2024,10,7804.637391
E,S469729,2024,11,7744.982393
E,S469729,2024,12,7920.403927
E,S469729,2025,1,7728.445202
E,S469729,2025,2,7096.259812
E,S469729,2025,3,6392.634335
E,S469729,2025,4,8906.04791
E,S469729,2025,5,7945.666795
E,S469729,2025,6,7988.660048
E,S469729,2025,7,8184.566835
E,S469729,2025,8,8189.266887
E,S469729,2025,9,7946.100476
E,S469729,2025,10,8384.880515
E,S469729,2025,11,8151.133125
E,S469729,2025,12,8501.214782
E,S425644,2022,1,8100
E,S425644,2022,2,7213
E,S425644,2022,3,8052
E,S425644,2022,4,7470
E,S425644,2022,5,12053
E,S425644,2022,6,10487
E,S425644,2022,7,12131
E,S425644,2022,8,11564
E,S425644,2022,9,10885
E,S425644,2022,10,9703
E,S425644,2022,11,10322
E,S425644,2022,12,10714
E,S425644,2023,1,11996
E,S425644,2023,2,9864
E,S425644,2023,3,9983
E,S425644,2023,4,10471
E,S425644,2023,5,12453
E,S425644,2023,6,13076
E,S425644,2023,7,12993
E,S425644,2023,8,11408
E,S425644,2023,9,11214
E,S425644,2023,10,9657
E,S425644,2023,11,4712
E,S425644,2023,12,5117
E,S425644,2024,1,5734
E,S425644,2024,2,5329
E,S425644,2024,3,4069
E,S425644,2024,4,5654
E,S425644,2024,5,5130
E,S425644,2024,6,5712
E,S425644,2024,7,6714
E,S425644,2024,8,9179
E,S425644,2024,9,9794
E,S425644,2024,10,10298.69992
E,S425644,2024,11,10199.01978
E,S425644,2024,12,10440.90583
E,S425644,2025,1,10234.23368
E,S425644,2025,2,9397.075257
E,S425644,2025,3,8465.313775
E,S425644,2025,4,11793.64971
E,S425644,2025,5,10521.88488
E,S425644,2025,6,10578.81781
E,S425644,2025,7,10838.24332
E,S425644,2025,8,10844.46727
E,S425644,2025,9,10522.45918
E,S425644,2025,10,11103.50457
E,S425644,2025,11,10793.96942
E,S425644,2025,12,11257.55781
E,S347994,2022,1,13310
E,S347994,2022,2,12702
E,S347994,2022,3,13559
E,S347994,2022,4,9620
E,S347994,2022,5,17125
E,S347994,2022,6,14239
E,S347994,2022,7,15378
E,S347994,2022,8,14427
E,S347994,2022,9,13670
E,S347994,2022,10,13202
E,S347994,2022,11,13935
E,S347994,2022,12,14272
E,S347994,2023,1,14210
E,S347994,2023,2,11415
E,S347994,2023,3,11505
E,S347994,2023,4,11590
E,S347994,2023,5,12185
E,S347994,2023,6,12613
E,S347994,2023,7,11719
E,S347994,2023,8,9599
E,S347994,2023,9,8926
E,S347994,2023,10,8344
E,S347994,2023,11,4086
E,S347994,2023,12,4272
E,S347994,2024,1,4663
E,S347994,2024,2,4049
E,S347994,2024,3,4411
E,S347994,2024,4,5777
E,S347994,2024,5,5317
E,S347994,2024,6,4974
E,S347994,2024,7,5938
E,S347994,2024,8,7074
E,S347994,2024,9,7298
E,S347994,2024,10,7655.447596
E,S347994,2024,11,7543.496297
E,S347994,2024,12,7732.742384
E,S347994,2025,1,7626.040168
E,S347994,2025,2,7002.231491
E,S347994,2025,3,6307.929337
E,S347994,2025,4,8788.039162
E,S347994,2025,5,7840.383487
E,S347994,2025,6,7882.807062
E,S347994,2025,7,8076.118004
E,S347994,2025,8,8080.755779
E,S347994,2025,9,7840.811421
E,S347994,2025,10,8273.777448
E,S347994,2025,11,8043.127304
E,S347994,2025,12,8388.570237
E,S313446,2022,2,3
E,S313446,2022,3,8769
E,S313446,2022,4,8342
E,S313446,2022,5,13052
E,S313446,2022,6,11488
E,S313446,2022,7,12889
E,S313446,2022,8,11370
E,S313446,2022,9,10472
E,S313446,2022,10,10771
E,S313446,2022,11,10924
E,S313446,2022,12,10991
E,S313446,2023,1,11494
E,S313446,2023,2,10317
E,S313446,2023,3,10473
E,S313446,2023,4,10757
E,S313446,2023,5,12582
E,S313446,2023,6,12967
E,S313446,2023,7,13337
E,S313446,2023,8,11580
E,S313446,2023,9,11090
E,S313446,2023,10,9765
E,S313446,2023,11,5070
E,S313446,2023,12,5606
E,S313446,2024,1,5824
E,S313446,2024,2,5625
E,S313446,2024,3,5684
E,S313446,2024,4,7720
E,S313446,2024,5,6790
